layer,captured_objectid,auth_globalid,distance_ft,match_type,action,attachment_count,attachment_names
,147,ff8e3a14-b4fe-4810-9dca-31e0aedbe879,2.0121191617707863,clean,updated,0,
,148,2f5929b2-c1ba-420d-92aa-ae10314a1775,1.3464146695933785,clean,updated,0,
,149,f5db4d30-9854-4225-8411-a625704aedb8,1.8482242055191411,clean,updated,0,
,150,5f7f9f37-981f-4735-a368-6afae8e0fda9,1.8878444783667003,clean,updated,0,
,151,,,new,appended,0,
,152,,,new,appended,0,
,153,,,new,appended,0,
,154,,,new,appended,0,
,155,c43fada5-b1e9-4467-9d9b-70b72054e57e,2.10596566075456,clean,updated,0,
,156,fee974f3-12c9-4302-a25b-eda9011c65a2,0.384654425391311,clean,updated,0,
,157,08a2fcec-5f16-4b6b-9146-429c42235b08,0.9431763672822696,clean,updated,0,
,158,,,new,appended,0,
,159,,,new,appended,0,
,160,b89c4a3b-1b30-4767-9f2e-8a6a330a7648,5.8935932193310485,clean,updated,0,
,161,500e5445-5271-4779-9d75-af6759c1c24e,2.7144072657257254,clean,updated,0,
,162,8af9d281-8768-4fc7-b942-a1c742eb7fe6,2.0170923581288065,clean,updated,0,
,163,c1a8d0d8-f084-4131-86d2-9ca0f2284ae4,2.368433170975862,clean,updated,0,
,164,799d9fb2-0ae7-436a-868c-d1e0015c944e,2.3533497563598207,clean,updated,0,
,165,cab9c1fa-14a0-4cee-adcc-6bdf08e75eee,0.6883273979544553,clean,updated,0,
,166,e644fa12-39f8-4c65-869d-6db4a6d4b3e2,1.2985257749249113,clean,updated,0,
,167,aaeb009b-d1b6-4377-996a-4b96d99945b2,0.2654996833084795,clean,updated,0,
,168,719ea414-d61c-4b6b-bff3-332e2e4b7ff1,1.4703256125622404,clean,updated,0,
,169,f8b69734-60c5-4fb1-a68b-08b07397730e,0.9433237083037079,clean,updated,0,
,170,833e23b3-e6ea-4824-a7a5-8770d2522625,0.5414139165250693,clean,updated,0,
,171,0e7cacf6-be5c-4bb6-ad13-74851dd22b1c,1.2682640970647516,clean,updated,0,
,172,6d52bef7-fa4b-4f0a-9816-55f863bdbbb7,0.8815392339785754,clean,updated,0,
,173,85d94cd1-ab46-4b2d-a578-e035844fbaa6,2.18029739637986,clean,updated,0,
,174,db764f0e-1a1d-4690-9b16-91f97131a5ba,1.848031912364739,ambiguous,updated,0,
,175,,,new,appended,0,
,176,228f5e0a-e76f-4748-ba9a-426c182d2737,1.989278746211409,clean,updated,0,
,177,c65cbf11-6f3a-49e1-b781-2894c2549eb5,1.727262918452378,clean,updated,0,
,178,,,new,appended,0,
,179,fda868b0-69ae-48d5-a50d-93618753a151,2.423042263857657,clean,updated,0,
,180,5988a048-3e7c-4a2c-b275-2b32073bdf2d,3.4237700552304258,clean,updated,0,
,181,fd68ff22-9329-48f8-a2ec-8d4365ccd475,1.2231732624196732,clean,updated,0,
,182,a02a3c7d-fdb4-47f4-b1e1-3018474914b5,2.7096027335323787,clean,updated,0,
,183,c23aa29f-eb17-4aff-8bad-cb1fdbc56bb0,1.4177871624419316,clean,updated,0,
,184,,,new,appended,0,
,185,,,new,appended,0,
